No.,カテゴリ,問題文（シチュエーション）,選択肢A,選択肢B,選択肢C,選択肢D,正解,解説・根拠,画像生成プロンプト (Midjourney)
1,現場入り,あなたの集合時間は9:00です。会場は大規模な展示ホールで、スタッフ搬入口は最寄り駅から徒歩15分、搬入口から控室までは5分かかります。,9:00に最寄り駅に到着し、「現着しました」とチーフにLINEを送る。,8:55に搬入口に到着し、一服してから9:00ちょうどに受付を済ませる。,8:40に搬入口に到着し、トイレや靴の履き替えを済ませ、8:55には作業可能な状態で待機する。,時間短縮のため、9:00にゲスト用の正面玄関から入館する。,C,イベント業界の集合時間は「作業開始可能時間」を指します。入館手続きや移動時間を逆算し、早めに到着して準備を整えるのが鉄則です。ゲスト動線の使用は厳禁です。,"Create an image of a digital watch displaying 8:55 AM, with a blurry view of a large convention center loading dock entrance in the distance. The perspective is from a rushing person looking at their watch."
2,身だしなみ,企業セミナーの配信現場。あなたはカメラアシスタントとして参加します。私服勤務ですが、お気に入りの派手なロゴ入りTシャツとダメージジーンズを着てきました。,クリエイティブな職種なので、個性を出すためにそのままで作業する。,上着だけ黒いジャケットを羽織れば問題ない。,持参した無地の黒Tシャツとチノパン（または作業用パンツ）に着替える。,クライアントに見られないように、カメラの後ろに隠れ続ける。,C,企業イベントではスタッフの服装も「品格」の一部です。ダメージジーンズや派手な色は避け、清潔感のある「黒」基調の服装に着替えるのがマナーです。,"A close-up shot of a camera assistant wearing a bright neon graphic t-shirt and ripped jeans standing in a formal dark corporate conference room, contrasting sharply with the suited clients."
3,身だしなみ,真夏の搬入作業で大量に汗をかきました。本番まであと30分。クライアントも同席する狭いオペレーション卓での業務が始まります。,汗の臭いを消すために、強めの香水を振る。,自分の体臭には気づかないので、そのまま業務を続ける。,無香料のボディシートで体を拭き、予備のTシャツに着替える。,クライアントに「汗臭くてすみません」と先に謝っておく。,C,密室での香水は「スメルハラスメント」になり得ます。汗ケアと着替えの持参は、周囲への配慮として必須の準備です。,"A pack of unscented body wipes, a stick of deodorant, and a freshly folded black t-shirt sitting on a road case backstage."
4,技術・電源,スマホのバッテリーが残り10%です。業務連絡（LINE）を確認する必要がありますが、モバイルバッテリーを忘れました。壁に空いているコンセントがあります。,業務に必要なので、無断で使用して充電する。,目立たないように、機材ケースの裏にあるコンセントを使う。,制作チーフに状況を報告し、許可された電源タップを使用するか、モバイルバッテリーを借りる。,照明機材用の電源タップに空きがあるので、そこに挿す。,C,無断充電は「電気窃盗」の法的リスクがあるほか、ノイズ混入やブレーカー落ちなどの技術トラブルの原因になります。必ず許可を得ましょう。,Close-up of a smartphone with a red low-battery icon next to an unused white wall outlet in a hotel banquet hall corridor.
5,インカム,本番中、ディレクターからの指示がインカムを通じて聞こえましたが、会場の音がうるさくて内容が聞き取れませんでした。,「え？何ですか？」と大声で聞き返す。,たぶん「スタンバイ」だろうと推測して行動する。,聞こえなかったが、怒られるのが怖いので沈黙する。,「（自分の名前）です。会場音が大きく聞き取れませんでした。もう一度お願いします」と冷静に返す。,D,推測での行動（だろう運転）は事故の元です。大声はマイク割れの原因になるため、冷静に再送を依頼するのがプロの対応です。,"A focused event staff member wearing a headset, pressing one hand against the earcup, trying to listen amidst a loud concert environment with stage lights flaring."
6,報告連絡,設営中、高価なレンズを誤ってケースにぶつけてしまいました。見た目に傷はありませんが、内部への影響は不明です。,傷がないので黙ってそのまま使う。,怒られるのが怖いので、他のスタッフが触った後に「壊れてます」と報告する。,即座にチーフに報告し、「ぶつけてしまいました。外傷はありませんがチェックをお願いします」と伝える。,休憩時間にこっそり動作確認をして、動けば報告しない。,C,隠蔽は最悪の行動です。本番中の故障を防ぐため、どんなに小さな衝撃でも即座に報告し、点検を受けるのが責任ある行動です。,A camera lens resting in a padded case. A hand is hovering over it nervously. The background shows a busy setup scene.
7,会場保護,ケーブルを床に固定するために「ガムテープ」を渡されました。会場はホテルの絨毯張りの宴会場です。,強度が高いガムテープでしっかりと固定する。,絨毯にはテープがつかないので、ケーブルをそのまま放置する。,ガムテープは粘着剤が残るため使用せず、支給された「養生テープ（弱粘着）」または「ガッファーテープ」を使用するか、チーフに確認する。,ガムテープの粘着力を弱めるために、一度自分の服に貼ってから使う。,C,強粘着テープは糊残りの原因となり、会場から修繕費を請求される恐れがあります。床材に適したテープ選びが必須です。,A roll of brown packaging tape and a roll of matte black gaffer tape sitting on a patterned hotel carpet. A hand reaches for the brown tape.
8,挨拶・序列,あなたは台車に荷物を載せてエレベーターを待っています。ドアが開き、中にはクライアントの重役と見られる人たちが乗っていました。スペースはギリギリ入れそうです。,「失礼します」と言って、強引に台車を入れる。,「お先にどうぞ」と会釈し、自分は乗らずに見送る。,クライアントに降りてもらって、荷物を先に入れる。,無言で乗り込む。,B,搬入用EVでない限り、優先権はゲストにあります。荷物を持ったスタッフが狭い空間に同乗するのは避け、次を待つのがマナーです。,Inside an elevator looking out. A group of suited executives stand inside. A staff member with a loaded equipment cart stands outside the open doors.
9,挨拶・序列,出演者の楽屋に弁当を届ける必要があります。ドアには「〇〇様（出演者名）」の貼り紙があり、中は静かです。,時間がないので、ノックしてすぐにドアを開ける。,ノックを2回し、返事がなくても少し開けて「お弁当です」と置いてくる。,ノックをゆっくり3〜4回し、中からの返事（「はい」「どうぞ」）を待つ。返事がない場合は入らず、時間を改めて再訪するか、マネージャーに連絡する。,ドアの下の隙間からメモを入れる。,C,楽屋はプライベート空間であり、着替え中の可能性もあります。返事がないのに入室することは絶対にあってはなりません。,"A closed wooden door with a paper sign reading ""Dressing Room: Mr. Tanaka"". A hand is positioned to knock."
10,言葉遣い,現場でクライアントから「ここの照明、もっと青くできないかな？」と聞かれました。あなたはカメラ担当で、照明のことは詳しくわかりません。,「わかりません、担当じゃないので」と即答する。,「たぶんできると思います」と適当に答える。,「照明担当の者に確認してまいりますので、少々お待ちいただけますか？」と答え、すぐに担当者を連れてくる。,「それは無理ですね」と断る。,C,「担当外」は客には無関係です。無責任な回答や拒絶をせず、適切な担当者につなぐ（ブリッジする）のが正解です。,"A client pointing up at the stage lighting rig, asking a question to a junior staff member who looks uncertain."
11,謝罪,こちらのミスで開始が遅れ、クライアントがイライラしています。報告に行く際の第一声として適切なものは？,「遅れてすみません。でも機材トラブルなんで仕方ないです。」,「大変お待たせしており申し訳ございません。現在の状況と復旧見込みをご報告させていただきます。」,「いやー、参りました。パソコンが固まっちゃって。」,（無言で頭を下げる）,B,言い訳（But）から始めず、謝罪→現状→見通しの3点をセットで伝えることで、相手の不安を解消します。,First person view of approaching an annoyed-looking client checking their watch. Text overlay options for dialogue.
12,SNS・情報管理,憧れの大型フェスのスタッフパス（ALL ACCESS）を受け取りました。嬉しくてたまりません。,名前部分を指で隠して、Instagramのストーリーに「今日からここで仕事！」とアップする。,ステージを背景に自撮りをして、友達限定公開でアップする。,写真撮影は一切せず、会場外に出る時はパスを服の中にしまうか裏返す。,パスのデザインが可愛いので、鞄の外側に常に見えるようにつけて電車で帰る。,C,スタッフパスのSNS投稿はセキュリティリスク（偽造など）に直結します。会場外での着用も関係者であることを晒すリスク行為です。,"A hand holding a laminated ""All Access"" staff pass against the background of a large concert stage lighting rig."
13,SNS・情報管理,バックヤードですれ違った出演者が、あなたがファンである有名人でした。周りには誰もいません。,「ファンです！握手してください！」と声をかける。,無音カメラアプリでこっそり写真を撮る。,気づかないふりをして無視する。,壁際に立ち止まり、軽く会釈をして「お疲れ様です」と挨拶し、通り過ぎるのを待つ。,D,スタッフはファンではありません。プライベートな接触や盗撮は即解雇・退場レベルの違反です。礼儀正しく距離を保ちます。,"A blurred figure of a famous celebrity walking down a sterile concrete hallway. A staff member is leaning against the wall, looking starstruck."
14,情報管理,撤収作業中、自分の持っていた進行台本（書き込みあり）が不要になりました。,会場のロビーにある一般ゴミ箱に捨てる。,記念に持って帰って、メルカリに出品する。,シュレッダーにかけるか、制作本部が用意した「機密書類回収ボックス」に入れる。なければ持ち帰って自宅で裁断する。,ちぎってコンビニのゴミ箱に捨てる。,C,台本は個人情報や演出情報の塊です。一般ゴミ箱への廃棄は情報漏洩のリスクが高く、適切に破棄する必要があります。,A crumpled event script inside a clear plastic trash bag along with empty plastic bottles and bento boxes.
15,ケータリング,お弁当が大量に余っています。制作プロデューサーが「余ってるから適当に処理して」と言いました。,「ラッキー！」と叫んで、家族の分も含めて3つ持って帰る。,会場の警備員や清掃スタッフ（外部の人）にあげる。,「いただいてもよろしいですか？」と確認し、常識の範囲内（1つ）を持ち帰るか、衛生面を考慮して現場で廃棄する指示に従う。,隠れてこっそり鞄に入れる。,C,「処理して」の意図を確認し、衛生管理責任の観点から外部譲渡を避けるなど、節度ある行動が求められます。,A stack of high-quality Makunouchi bento boxes left on a table in an empty meeting room.
16,ケータリング,お弁当が届きました。お腹が減っていますが、クライアントや出演者はまだ休憩に入っていません。,温かいうちに一番に食べる。,クライアントや上席者が食事を取り始めるか、「スタッフも回して（休憩に入って）」と指示が出るまで待つ。,トイレの個室で隠れて食べる。,お菓子をつまんで空腹を紛らわす。,B,現場の優先順位は「演者・客・クライアント・スタッフ」です。指示が出る前に勝手に食事を始めるのはマナー違反です。,Staff looking hungrily at a pile of bento boxes while clients are still having a meeting in the background.
17,撤収・忘れ物,撤収作業中、長机の上に黒いACアダプターがポツンと置かれています。誰のものかわかりません。,「誰のですかー！」と一度叫び、反応がなければ捨てる。,自分のものかもしれないので、もらっておく。,「場所」「時間」を書いた養生テープを貼り、制作本部の「遺失物管理担当」またはチーフに届ける。,そのままにして帰る。,C,付属品の紛失は機材使用不可に直結します。「いつどこにあったか」を記録し、管理者に引き継ぐのがプロです。,A generic black AC power adapter sitting alone on a white folding table during a chaotic teardown process.
18,打ち上げ,打ち上げの席で、クライアントの部長がビール瓶を持ってあなたに近づいてきました。あなたはお酒が飲めません。,グラスを手で蓋して「飲めません！」と強く拒否する。,「ありがとうございます」と一度注がせ、口をつけるフリだけして（乾杯のマナー）、その後は烏龍茶を飲む。,「アルハラですよ」と注意する。,無視してサラダを取り分ける。,B,角を立てずにその場をやり過ごすのもスキルです。注いでもらう行為自体は感謝で受け止め、実質的には飲まない対応がスマートです。,"A lively izakaya setting. An older man in a suit is holding a beer bottle, gesturing to pour into a glass held by a younger staff member."
19,クレーム対応,一般来場者から「スタッフの態度が悪い」と怒鳴られました。あなたに心当たりはありませんが、相手は激昂しています。,「私ではありません」と反論する。,「申し訳ございません」と謝罪し、まずは相手の話を傾聴（Listen）する。必要であれば責任者を呼ぶ。,無視して警備員を呼ぶ。,走って逃げる。,B,クレーム対応の初動は「謝罪と傾聴」です。反論は火に油を注ぎます。組織として真摯に対応する姿勢を見せます。,First person perspective of an angry guest pointing a finger and shouting in a crowded lobby.
20,危機管理,屋外イベントの搬入中、急に雨が降り出しました。手元には「自分のバッグ」と「照明機材（防水なし）」があります。,自分のバッグが濡れないように屋根の下に走る。,照明機材にブルーシートや雨具を被せ、機材を守ることを最優先する。,濡れるので作業を中止して休憩する。,傘を差して片手で作業する。,B,スタッフの使命はイベントの遂行です。高価な機材の水没を防ぐことが最優先事項となります。,Rain starting to fall on outdoor event equipment. A personal backpack and a non-waterproof stage light are exposed.
21,撤収作業,会場の床に貼った養生テープを剥がすように指示されました。早く終わらせたい状況です。,勢いよく「バリッ」と一気に剥がして時短する。,テープの端を持ち、床材を傷めないようゆっくりと角度をつけて剥がす。,剥がすのが面倒なので、見えないところはそのままにする。,水をかけて剥がれやすくする。,B,勢いよく剥がすと、床のワックスや塗装まで剥がしてしまう恐れがあります。会場へのダメージを防ぐのが最優先です。,"Close up of a hand gently peeling green tape off a wooden floor, contrasting with a ripped piece of floor finish."
22,機材・技術,長いマイクケーブルを片付けることになりました。どうやって巻きますか？,自分の肘と手のひらに巻き付けていく（肘巻き）。,何も考えずにぐるぐると円形に巻く（順巻き）。,ケーブルの癖を取りながら、よじれないように「8の字巻き」で巻く。,結んで小さくまとめる。,C,プロの現場では「8の字巻き」が絶対です。順巻きや肘巻きはケーブルに癖がつき、断線の原因や次回の設営時のトラブルになります。,"Illustration of hands demonstrating the ""figure-8"" cable coiling technique, with a tangled cable pile in the background marked with a red X."
23,安全管理,通路に三脚を立ててカメラを設置することになりました。,通行人がつまずかないよう、足を大きく広げすぎず、かつ転倒しないバランスで設置し、足の1本を通路と平行にする。,安定させるために足を最大限広げて通路を塞ぐ。,邪魔にならないように足を閉じて立てかける。,三脚は使わず手持ちで頑張る。,A,通行人の安全確保と機材の転倒防止を両立させる設置方法が求められます。足の位置に配慮が必要です。,"A camera tripod set up in a hallway, with one leg parallel to the wall to maximize walkway space, safety cone nearby."
24,労働安全,非常に重いスピーカーを運ぶことになりました。一人で持てそうですが、腰に不安があります。,根性を見せるために一人で持ち上げる。,腰を曲げたまま腕の力だけで持ち上げる。,無理をせず「手伝ってください」と声をかけ、2人以上で運ぶ。,引きずって運ぶ。,C,現場での怪我（腰痛など）は労災となり、チーム全体に迷惑をかけます。無理せず助けを求めることもしっかりしたリスク管理です。,"Two staff members lifting a heavy equipment case together, using proper lifting technique (knees bent), with a ""Teamwork"" icon."
25,インカム,トランシーバー（インカム）を渡されました。休憩中に暇だったので、他のチャンネルの会話を聞いていました。,情報収集のために積極的に聞くべきだ。,混信や誤操作の原因になるため、指定されたチャンネル以外には合わせず、無関係な会話を聞いたり話したりしない。,面白い話があれば割り込んで会話に参加する。,電源を切ってバッテリーを節約する。,B,インカムは業務用の通信機器です。指定外のチャンネル傍受は業務の妨げになるほか、電波法や守秘義務の観点からも不適切です。,"A close up of a radio transceiver dial set to ""Channel 1"" with a lock icon, ensuring secure communication."
26,本番・移動,本番中、カメラの前を通らなければ反対側に行けなくなりました。,何食わぬ顔で普通に歩いて通る。,「失礼します」と大声で言って通る。,カメラマンの背後を通るか、どうしてもレンズ前を通る場合は、カメラマンに合図し、低い姿勢で素早く横切る（わらう）。,匍匐前進で進む。,C,映像への映り込みを防ぐため、カメラ前は極力避けます。やむを得ない場合は「わらう（視界から消える）」配慮が必要です。,"Silhouette of a staff member crouching low (""duck walking"") to pass under a camera lens's field of view."
27,本番・演出,暗転中のステージ袖で足元が見えません。懐中電灯（ペンライト）を使いたいと思います。,明るい方が良いので、強力なライトで周囲を照らす。,スマホのライトを全開にして照らす。,ライトの先端を手で覆い、光が漏れないようにして足元だけをピンポイントで照らす。,危ないのでライターの火で照らす。,C,演出意図である「暗闇」を壊さないよう、光漏れには細心の注意を払います。客席やステージに光を向けるのは厳禁です。,"A hand holding a penlight, fingers cupping the bulb to minimize light spill, illuminating only steps in the dark."
28,安全管理,床に敷いたゴムマット（ケーブル保護用）が少しめくれて、つまずきやすくなっています。,誰かが直すだろうと見て見ぬふりをする。,自分がつまずかないように気をつけて通る。,即座に養生テープで貼り直すか、重量のあるもので押さえて、つまずき事故を防ぐ。,「足元注意」と書いた紙を貼る。,C,小さな段差が転倒事故（機材破損や怪我）につながります。「気づいた人が直す」が現場の鉄則です。,A slightly curled rubber mat edge on the floor being taped down flat with yellow and black safety tape.
29,機材保護,飲みかけのペットボトルを置く場所がありません。目の前に機材ケースがあります。,蓋を閉めていれば大丈夫なので、機材ケースの上に置く。,機材の上に直接置く。,機材やケースの上には絶対に置かず、床に置くか、指定されたドリンクエリアで飲む。名前も書いておく。,ポケットに入れて作業する。,C,「水没」は機材トラブルの定番です。蓋が閉まっていても、結露や転倒のリスクがあるため、機材周りへの飲み物置きは厳禁です。,"A water bottle sitting on the floor, clearly separated from a stack of electronic equipment cases. A red ""No Drinks"" sign on the cases."
30,撤収・ゴミ,撤収時に出たゴミ（弁当ガラ、ガムテのゴミ、ペットボトル）を捨てたいと思います。,全てまとめて一つの大きなゴミ袋に入れる。,近くのコンビニのゴミ箱に捨てに行く。,会場のルール（燃えるゴミ、プラ、ビン・カン等）に従い、厳密に分別して指定の場所に集める。,会場の隅に隠しておく。,C,事業系ゴミの処理は厳格です。分別の不備は、会場側によるゴミ受け取り拒否や追加料金の請求につながります。,"Three distinct trash bags (Burnable, Plastic, Cans/Bottles) being filled by staff, with clear recycling symbols."
31,マナー,休憩中、タバコを吸いたくなりました。会場の裏口付近に灰皿はありませんが、屋外です。,携帯灰皿を持っているので、その場で吸う。,人通りがなければ吸ってもバレない。,指定された喫煙所（会場内または近隣の公衆喫煙所）まで移動して吸う。指定場所がなければ我慢する。,換気扇の下なら屋内で吸う。,C,イベント会場は全面禁煙が多く、指定外での喫煙はクレームや出入り禁止の対象となります。携帯灰皿があってもNGな場合がほとんどです。,"A ""No Smoking"" sign posted on a building wall, with a map pointing to the designated smoking area."
32,クライアント,クライアントのゲストを乗せるタクシーを手配しました。ゲストが乗車する際の対応は？,ドアを開けて「どうぞ」と言うだけで、自分は先に戻る。,ゲストが乗車した後、運転手に行き先を告げ、料金の支払い方法（チケツト等）を確認し、発車を見送る。,ゲストに「行き先を運転手に伝えてください」と言う。,自分が助手席に乗って案内する。,B,ゲストに手間を取らせないのがホスピタリティです。行き先や支払いの手配を完了させてから発車させるのがアテンドの基本です。,"Staff speaking to a taxi driver through the window while holding the door open for a guest, handing over a taxi ticket."
33,マナー,現場で取引先の人と名刺交換することになりました。スタッフTシャツを着ています。,自分の会社の名刺や、フリーランスとしての個人の名刺を積極的に配り、営業する。,スタッフとしての立場をわきまえ、求められない限り自分から名刺は出さない。必要な場合はチーフの名刺を渡すか、後日改めて挨拶する。,SNSのアカウントを教える。,名刺を持っていないので紙に名前を書く。,B,現場スタッフは「主催者の代理」として働いています。その場を利用して個人の営業活動を行うことは、商流無視となりマナー違反です。,"A staff member politely declining a business card exchange with a gesture, indicating their ""Staff"" armband."
34,マナー,本番中、ポケットに入れていたスマホが鳴りました。,すぐに出て「今本番中です」と小声で話す。,慌てて切る。,常にマナーモード（バイブもOFF推奨）にしておくのが基本。鳴ってしまった場合は即座に音を消し、後で確認する。,着信音をイベントのBGMに合わせる。,C,本番中の着信音は進行妨害となります。静かなシーンではバイブ音すらノイズになるため、電源OFFか完全サイレントが推奨されます。,"Smartphone screen showing ""Silent Mode On"" setting, with a stage background."
35,勤務態度,待ち時間が長く、やることもないので眠くなってきました。,椅子を並べて横になって寝る。,パイプ椅子に座って腕組みをして目を閉じる。,立って動くか、ガムを噛む（見えない場所で）などして眠気を覚ます。どうしても無理なら交代を依頼して休憩室で仮眠する。,スマホゲームをして目を覚ます。,C,クライアントや客から見える場所での居眠りは厳禁です。「サボっている」と見なされ、会社全体の評価を下げます。,"Staff member splashing water on their face in a restroom to wake up, looking determined."
36,守秘義務,客席の最後方で待機中、インカムをつけていない状態で隣のスタッフと出演者の演技について話しました。,「あの演技微妙だね」と小声で批評する。,「今日のケータリング美味しかったね」と盛り上がる。,客席付近では、業務に関係のない私語や、出演者・演出に関する批評は一切しない。,筆談ならOK。,C,客席には関係者やファンがいます。不用意な発言（特にネガティブな内容）は「風評被害」や「炎上」の火種になります。,"Two staff members putting fingers to their lips (""Shh"" gesture) while standing near the audience seating area."
37,態度,立って待機している際、楽なので腕組みをしていました。,プロっぽく見えるのでそのままにする。,寒そうに見えるのでポケットに手を入れる。,腕組みは威圧的・拒絶的に見えるため、手は前で組むか、横に下ろして待機する。,仁王立ちで威厳を示す。,C,腕組みは心理的に「拒絶」や「偉そう」な印象を与えます。サービス業としての基本姿勢（後ろ手または前組み）を保ちます。,Comparison illustration: Person with crossed arms (red X) vs. Person with hands clasped politely in front (green check).
38,態度,寒いのでズボンのポケットに手を入れて歩いていました。,転んだ時に危ないので、手はポケットから出す。,ファッションの一部なので問題ない。,片手ならOK。,寒いと作業効率が落ちるので入れ続ける。,A,ポケットに手を入れたままの作業や移動は、転倒時に受け身が取れず大怪我につながるほか、態度が悪く見えます。,"Staff member walking briskly with hands out of pockets, wearing gloves for warmth instead."
39,接遇,来場者から「トイレはどこですか？」と聞かれました。,「あっちです」と指を指す。,「向こうの突き当たりを右です」と、指ではなく手のひら（指を揃えて）で方向を示し、可能なら近くまで誘導する。,「看板を見てください」と言う。,無言で顎でしゃくる。,B,「指差し」は失礼にあたります。手のひら全体で方向を示し、丁寧な言葉で案内するのがホスピタリティです。,"Staff member guiding a guest with an open palm gesture towards the restrooms, smiling."
40,セキュリティ,関係者以外立入禁止のバックヤードに、友達が「差し入れ持ってきたよ」と訪ねてきました。,友達なのでこっそり中に入れる。,入口で立ち話をして盛り上がる。,感謝を伝えつつ、「ここは関係者以外入れないから」と断り、バックヤードの外（ロビー等）で短時間対応するか、業務終了後に会う。,スタッフパスを貸してあげる。,C,セキュリティに例外はありません。私的な知人を内部に入れることは、情報漏洩や盗難のリスクを高める重大な違反です。,"Staff member stopping a friend at a ""Staff Only"" door, accepting a gift but pointing to the lobby waiting area."
41,緊急時,本番中に大きな地震が発生しました。,「逃げろ！」と叫んで真っ先に非常口へ走る。,その場にしゃがみ込んで揺れが収まるのを待つ。,独自の判断で動かず、インカムからのチーフ・舞台監督の指示を待ち、指示に従って観客の誘導や機材の安全確保を行う。,SNSで「地震なう」と投稿する。,C,パニックを誘発しないよう、指揮命令系統に従って組織的に動くことが求められます。勝手な避難指示や逃走は混乱を招きます。,"Staff member listening intently to an earpiece instruction during a tremor, looking calm and ready to guide others."
42,自己管理,本番前、体調が悪くなってきました。,本番に穴を開けるわけにはいかないので、我慢して隠す。,倒れるまで頑張るのが美徳。,無理をして本番中に倒れるのが一番の迷惑になるため、早めにチーフに申告し、代わりのスタッフを手配してもらうか休憩をとる。,栄養ドリンクを5本飲んで誤魔化す。,C,現場で倒れられると、救護や搬送で多くのスタッフの手が取られ、イベント進行が止まります。早期申告が最大のリスクヘッジです。,"Staff member looking pale and talking to a supervisor, who is checking a schedule to find a replacement."
43,防犯,バックヤードで、スタッフパスをつけていない不審な人物がうろついているのを見つけました。,怖いので見なかったことにする。,いきなり「誰ですか！」と取り押さえる。,「おはようございます、何かお探しですか？」と声をかけ（挨拶は防犯になる）、反応がおかしければ警備員や本部に通報する。,写真を撮ってSNSに晒す。,C,挨拶は不審者への牽制になります。単独で制圧しようとせず、プロ（警備員）や組織の力を使って対応します。,"Staff member politely approaching a person without a badge, while subtly signaling security on a radio."
44,炎上対策,エゴサーチをしていたら、今日のイベントに関する悪意あるデマがSNSで拡散されているのを見つけました。,正義感から、自分の個人アカウントで「それはデマです」と反論する。,面白いのでリツイートする。,個人の判断で反応せず、速やかにURLやスクリーンショットを上長（広報・制作P）に報告し、公式な対応を仰ぐ。,犯人を特定してDMを送る。,C,個人の反論は「公式スタッフと一般人の喧嘩」に見え、炎上を拡大させます。公式アカウントからの正式な対応に任せます。,"Computer screen showing a social media post with a ""False Info"" alert, staff member typing an email to ""PR Dept""."
45,データ管理,撮影したデータをHDDにバックアップしました。,コピーしたので元のSDカードのデータはすぐに消す。,HDDは壊れるものと考え、必ず「メインHDD」と「サブHDD（コピー）」の2箇所以上に保存する（二重化）。,パソコンのデスクトップにだけ置いておく。,クラウドに上げるからHDDはいらない。,B,データ消失は取り返しがつきません。「データは2箇所以上にあって初めて存在する」と考え、二重バックアップを徹底します。,"Two hard drives connected to a laptop, screen showing ""Backup Complete"" on both drives."
46,機材管理,レンタルした機材を返却します。借りた時よりコードがぐちゃぐちゃですが、返すだけなのでそのまま箱に入れました。,返却時に店員が直すので問題ない。,借りた時と同じか、それ以上に綺麗な状態（コードを巻く、汚れを拭く）にして返却する。「来た時よりも美しく」が信頼の証。,部品が足りないが黙って返す。,別の機材と混ぜて返す。,B,返却時の状態は、その会社の「民度」を表します。綺麗に返却することで、次回のレンタル時に融通が利くなどの信頼関係が生まれます。,Staff member wiping down a lens and neatly coiling cables before placing them back in a rental case.
47,報連相,交通渋滞で、集合時間に5分遅れそうです。「5分くらいならバレないか」と思いました。,走って行って、遅れていない顔をする。,1分でも遅れることがわかった時点で「遅れます」と連絡する。「急げば間に合うかも」という期待で連絡を遅らせない。,嘘の理由（電車遅延など）を考える。,怒られるので着くまで連絡しない。,B,「遅刻そのもの」より「連絡がないこと」が信頼を損ないます。事前の連絡があれば、他のスタッフでカバーするなどの対処が可能です。,"Staff member on a train texting ""Running 5 mins late, sorry"" to a supervisor immediately upon realization."
48,コミュニケーション,クライアントに対して、専門用語（「バミリ」「わらう」「テッパイ」）を使って説明しました。,プロっぽくてかっこいい。,相手が理解できない言葉を使うのは不親切。一般的な言葉（「目印」「はける」「撤収」）に言い換えて説明する。,業界用語を知らないクライアントを見下す。,意味を聞かれても「業界の常識です」と答える。,B,専門用語は身内の効率化のための言葉です。外部の方には、誰でもわかる共通言語で話すのが真のコミュニケーションスキルです。,"Staff member explaining a stage marking to a client, using plain language instead of jargon, pointing to the floor tape."
49,挨拶,イベントが無事終了しました。帰る時にチーフに挨拶します。,「お疲れ様でした」とだけ言って去る。,疲れているので無言で帰る。,「お疲れ様でした。本日は〇〇の件で勉強になりました。ありがとうございました」と、具体的な感謝や学びを添える。,「次はもっとギャラ上げてください」と言う。,C,定型文だけでなく、具体的な一言を添えることで「やる気」と「学習能力」を印象づけ、次回の指名につなげます。,"Staff member bowing and shaking hands with a supervisor, smiling, with a speech bubble saying ""Thank you for the guidance today."""
50,契約,業務前に「守秘義務契約書（NDA）」にサインしました。,サインは形式的なものなので、中身は読まない。,家族になら話してもいいだろう。,契約内容を熟読し、イベントの未公開情報や裏側の事情は、家族や友人を含め誰にも話さない覚悟を持つ。違反すれば損害賠償対象になることを理解する。,サインした紙を記念にSNSにアップする。,C,NDAは法的拘束力のある契約です。「つい口が滑った」では済まされない、プロとしての最も重い責任の一つです。,"Close up of a hand signing a document labeled ""Non-Disclosure Agreement"" with a serious expression."